user_id,content_id,rating,time_spent,completed
135,152,1,50 mins,Yes
580,110,5,47 mins,No
147,128,3,47 mins,No
490,106,5,52 mins,No
478,127,5,29 mins,No
159,112,4,44 mins,Yes
384,162,4,32 mins,Yes
163,152,4,53 mins,Yes
441,148,4,56 mins,Yes
853,167,3,48 mins,Yes
189,146,2,34 mins,Yes
415,197,1,59 mins,Yes
339,174,4,31 mins,Yes
607,195,4,56 mins,No
181,115,1,17 mins,No
288,171,4,18 mins,Yes
834,136,2,24 mins,Yes
187,114,5,57 mins,No
884,178,1,29 mins,No
138,103,3,44 mins,No
130,167,1,46 mins,Yes
194,186,2,12 mins,No
316,119,3,43 mins,Yes
984,199,5,43 mins,No
785,176,4,45 mins,No
864,154,1,44 mins,Yes
144,169,3,18 mins,No
16,110,1,39 mins,Yes
302,133,5,35 mins,No
423,113,1,21 mins,Yes
245,199,3,33 mins,Yes
927,151,2,50 mins,Yes
107,132,3,28 mins,No
88,175,1,53 mins,Yes
129,124,5,25 mins,No
907,135,4,35 mins,No
887,183,4,32 mins,Yes
341,170,5,42 mins,Yes
4,140,1,51 mins,No
327,154,5,39 mins,No
410,144,1,32 mins,Yes
879,162,3,19 mins,No
306,199,2,45 mins,Yes
908,168,1,40 mins,Yes
607,133,4,52 mins,Yes
721,177,4,31 mins,No
225,156,2,52 mins,No
971,136,1,52 mins,No
348,154,2,47 mins,No
992,119,3,56 mins,Yes
321,143,2,11 mins,No
559,112,3,32 mins,Yes
988,111,4,44 mins,Yes
181,170,3,46 mins,No
618,112,1,41 mins,No
711,191,1,52 mins,No
386,141,1,21 mins,Yes
618,125,1,44 mins,No
792,103,5,50 mins,Yes
772,103,3,12 mins,Yes
108,184,1,43 mins,No
531,128,2,47 mins,No
410,123,2,33 mins,No
971,148,5,47 mins,Yes
296,167,3,26 mins,Yes
818,142,3,49 mins,No
171,188,3,10 mins,No
331,140,5,17 mins,Yes
493,106,3,24 mins,No
195,120,3,59 mins,No
12,111,1,54 mins,Yes
195,196,3,34 mins,Yes
490,127,1,17 mins,No
795,121,1,41 mins,Yes
881,113,3,59 mins,No
182,186,2,22 mins,Yes
962,135,4,55 mins,Yes
817,147,2,24 mins,Yes
656,186,3,15 mins,Yes
898,128,3,42 mins,No
316,121,2,16 mins,Yes
694,118,3,42 mins,No
30,131,1,56 mins,Yes
596,160,5,38 mins,No
678,137,3,47 mins,Yes
796,121,3,46 mins,Yes
793,114,2,53 mins,No
96,189,1,41 mins,Yes
381,191,2,12 mins,No
778,160,2,29 mins,No
444,123,3,23 mins,Yes
298,195,1,37 mins,Yes
808,129,3,47 mins,No
737,147,3,13 mins,Yes
845,130,3,24 mins,Yes
361,190,3,26 mins,No
374,184,5,46 mins,Yes
554,138,4,33 mins,Yes
303,183,1,47 mins,Yes
421,127,5,51 mins,Yes
246,189,4,50 mins,Yes
720,187,4,45 mins,No
237,193,4,50 mins,Yes
534,115,5,17 mins,Yes
185,159,1,12 mins,No
468,103,2,39 mins,Yes
754,110,4,31 mins,No
363,179,2,42 mins,No
283,180,2,34 mins,Yes
553,117,3,39 mins,Yes
336,183,2,46 mins,No
162,111,3,12 mins,Yes
160,148,1,13 mins,No
474,105,1,38 mins,Yes
601,169,3,41 mins,Yes
322,164,1,32 mins,No
12,114,4,28 mins,No
424,150,1,24 mins,No
73,126,3,25 mins,No
588,172,4,32 mins,No
858,169,2,49 mins,No
201,107,2,55 mins,No
522,116,2,46 mins,No
864,155,3,10 mins,No
505,178,2,28 mins,No
738,156,1,46 mins,Yes
688,104,2,44 mins,Yes
788,200,5,39 mins,No
39,148,5,26 mins,Yes
60,117,2,48 mins,No
578,136,2,58 mins,Yes
321,170,5,35 mins,Yes
435,180,2,22 mins,Yes
636,193,4,31 mins,Yes
676,200,5,55 mins,Yes
408,138,3,32 mins,No
923,162,5,53 mins,Yes
386,148,1,52 mins,Yes
671,110,4,42 mins,No
569,136,3,36 mins,Yes
78,129,2,44 mins,Yes
194,178,1,21 mins,Yes
285,104,1,18 mins,Yes
527,144,4,43 mins,Yes
524,156,3,23 mins,Yes
613,142,1,46 mins,Yes
156,200,3,12 mins,No
340,113,3,53 mins,No
125,146,1,53 mins,No
871,182,3,30 mins,Yes
280,133,4,16 mins,Yes
917,121,1,42 mins,No
906,180,4,44 mins,No
622,179,4,20 mins,No
846,157,3,54 mins,Yes
869,169,3,41 mins,No
658,170,1,31 mins,Yes
728,167,2,51 mins,No
910,148,1,28 mins,No
674,176,4,45 mins,Yes
128,200,3,46 mins,Yes
314,133,4,20 mins,Yes
332,136,5,50 mins,Yes
150,133,5,22 mins,Yes
454,131,4,37 mins,Yes
36,121,2,58 mins,No
685,127,2,24 mins,Yes
420,191,1,22 mins,Yes
22,172,1,52 mins,Yes
206,162,1,42 mins,No
639,196,3,17 mins,No
848,126,2,41 mins,Yes
957,166,4,46 mins,Yes
356,112,5,57 mins,Yes
440,122,2,13 mins,Yes
729,117,2,27 mins,Yes
96,107,2,32 mins,Yes
929,168,1,38 mins,No
941,137,3,11 mins,Yes
164,138,4,22 mins,Yes
148,196,1,25 mins,Yes
530,111,3,17 mins,Yes
294,101,2,28 mins,No
195,125,3,41 mins,Yes
663,142,1,12 mins,No
480,152,2,58 mins,Yes
877,124,1,41 mins,Yes
123,153,4,50 mins,Yes
400,156,2,30 mins,No
699,163,3,34 mins,No
965,181,1,26 mins,Yes
452,108,5,34 mins,Yes
661,159,3,42 mins,Yes
104,145,3,40 mins,Yes
755,127,2,45 mins,Yes
462,152,3,32 mins,Yes
743,118,1,56 mins,Yes
991,191,5,53 mins,No
718,186,4,34 mins,No
710,116,5,58 mins,Yes
396,166,1,53 mins,Yes
912,105,2,57 mins,Yes
337,182,1,39 mins,Yes
599,103,3,22 mins,Yes
142,191,2,52 mins,Yes
317,181,4,56 mins,No
711,180,4,38 mins,No
558,170,1,25 mins,No
800,107,3,47 mins,Yes
527,150,4,36 mins,No
556,114,5,35 mins,Yes
401,138,2,20 mins,No
681,179,5,56 mins,Yes
310,147,4,46 mins,No
495,133,4,12 mins,Yes
556,143,1,35 mins,No
610,191,1,43 mins,No
773,129,2,42 mins,No
109,157,1,24 mins,Yes
795,105,3,11 mins,Yes
372,193,2,37 mins,Yes
855,196,3,29 mins,Yes
616,160,1,47 mins,Yes
768,170,2,53 mins,No
891,102,4,25 mins,Yes
206,170,5,55 mins,Yes
847,143,4,13 mins,Yes
43,104,3,17 mins,No
865,156,4,53 mins,No
245,193,4,55 mins,No
287,159,5,29 mins,Yes
355,189,5,35 mins,Yes
785,109,4,41 mins,No
476,103,5,22 mins,Yes
83,190,4,14 mins,Yes
110,148,2,53 mins,Yes
950,143,4,51 mins,Yes
190,191,1,22 mins,Yes
983,200,5,50 mins,No
800,196,5,20 mins,No
936,101,3,46 mins,No
909,157,3,41 mins,Yes
251,153,1,54 mins,No
724,116,5,51 mins,Yes
291,151,5,27 mins,No
645,175,3,38 mins,Yes
201,190,3,24 mins,Yes
797,155,4,29 mins,No
326,101,5,53 mins,No
511,190,5,45 mins,No
409,128,4,14 mins,Yes
607,153,5,49 mins,No
790,158,1,46 mins,No
962,173,3,42 mins,No
941,160,3,27 mins,No
837,159,3,28 mins,Yes
508,122,2,41 mins,Yes
731,108,1,51 mins,Yes
601,149,1,31 mins,No
72,142,4,50 mins,No
247,127,2,10 mins,No
641,139,5,34 mins,Yes
724,183,1,29 mins,No
940,125,2,44 mins,Yes
855,138,2,54 mins,No
608,185,1,15 mins,Yes
587,124,4,15 mins,Yes
935,124,2,59 mins,No
566,160,3,46 mins,No
344,183,2,58 mins,Yes
971,150,5,12 mins,Yes
925,166,1,46 mins,No
54,114,5,40 mins,Yes
730,153,4,44 mins,No
528,132,3,54 mins,No
611,196,1,24 mins,Yes
532,192,2,26 mins,Yes
558,148,3,24 mins,No
963,139,2,14 mins,Yes
193,140,4,31 mins,Yes
895,142,1,55 mins,No
58,177,4,20 mins,Yes
437,176,4,37 mins,Yes
111,108,4,23 mins,Yes
129,179,4,48 mins,Yes
849,126,2,12 mins,No
706,112,5,51 mins,Yes
925,143,2,20 mins,Yes
852,151,3,39 mins,Yes
326,191,4,47 mins,Yes
8,182,3,14 mins,No
29,200,2,31 mins,No
112,163,4,22 mins,No
947,149,2,53 mins,Yes
673,127,4,30 mins,No
131,109,2,46 mins,No
188,139,1,34 mins,Yes
675,165,5,30 mins,Yes
709,171,5,37 mins,No
475,190,4,50 mins,No
364,171,1,13 mins,Yes
204,107,3,38 mins,Yes
212,172,1,56 mins,Yes
621,180,4,44 mins,No
276,167,1,32 mins,Yes
73,110,3,16 mins,No
679,171,4,55 mins,No
772,185,5,55 mins,No
243,153,1,18 mins,Yes
787,195,5,32 mins,No
102,187,5,12 mins,No
987,157,2,18 mins,No
685,191,3,13 mins,No
171,186,1,58 mins,Yes
653,127,5,34 mins,No
909,154,5,15 mins,Yes
188,104,3,57 mins,Yes
441,188,5,27 mins,No
86,123,5,54 mins,No
476,148,5,16 mins,Yes
52,183,5,44 mins,Yes
111,142,2,40 mins,Yes
949,103,2,47 mins,Yes
877,191,4,41 mins,No
854,103,1,44 mins,No
43,128,3,37 mins,No
211,163,4,53 mins,No
968,181,2,14 mins,Yes
200,131,2,39 mins,Yes
810,110,2,31 mins,No
858,149,4,26 mins,No
752,186,2,19 mins,No
627,194,4,16 mins,Yes
26,121,2,13 mins,No
919,200,5,51 mins,Yes
299,153,5,36 mins,Yes
77,187,1,16 mins,Yes
924,176,2,32 mins,Yes
137,189,1,20 mins,No
20,154,4,17 mins,Yes
440,157,1,17 mins,Yes
211,120,2,46 mins,No
752,149,4,14 mins,No
551,107,4,16 mins,Yes
435,129,5,31 mins,No
780,148,4,45 mins,No
207,193,4,11 mins,Yes
991,113,1,33 mins,No
439,103,4,11 mins,Yes
974,102,3,57 mins,Yes
779,116,5,21 mins,No
666,194,5,56 mins,No
42,106,4,51 mins,No
411,145,1,35 mins,Yes
523,171,5,47 mins,No
806,105,5,54 mins,Yes
610,156,3,15 mins,No
427,171,4,32 mins,Yes
275,198,5,11 mins,No
448,132,5,35 mins,Yes
902,149,5,23 mins,No
942,113,5,27 mins,No
884,130,1,47 mins,No
742,125,2,41 mins,No
369,185,3,23 mins,No
938,160,1,39 mins,Yes
220,159,3,22 mins,Yes
577,185,5,49 mins,No
867,128,3,40 mins,Yes
232,158,4,46 mins,Yes
328,120,4,54 mins,No
443,134,2,47 mins,No
52,105,2,31 mins,Yes
886,182,3,37 mins,Yes
943,160,1,28 mins,No
376,143,1,52 mins,No
263,157,5,25 mins,No
267,157,1,14 mins,Yes
359,175,2,53 mins,No
317,154,1,58 mins,Yes
324,181,5,11 mins,No
921,145,4,19 mins,No
908,186,1,56 mins,Yes
666,137,1,28 mins,No
870,184,2,29 mins,Yes
878,148,3,38 mins,Yes
652,154,4,34 mins,Yes
939,148,3,26 mins,No
563,106,5,22 mins,No
629,134,5,54 mins,No
421,163,3,25 mins,Yes
46,178,2,44 mins,No
821,148,2,45 mins,No
600,123,2,48 mins,No
720,184,4,12 mins,No
889,113,5,18 mins,No
269,147,5,49 mins,Yes
601,144,5,59 mins,No
381,132,4,55 mins,No
118,126,5,38 mins,No
566,153,3,14 mins,Yes
953,114,1,12 mins,No
116,152,4,19 mins,Yes
630,136,1,40 mins,Yes
260,108,3,20 mins,No
75,140,2,26 mins,Yes
480,186,2,49 mins,Yes
305,122,2,50 mins,Yes
7,116,4,17 mins,No
366,191,2,11 mins,Yes
634,160,4,13 mins,No
523,160,4,25 mins,No
348,110,1,50 mins,Yes
438,125,2,50 mins,Yes
215,131,5,30 mins,Yes
429,121,2,14 mins,No
791,191,2,44 mins,No
498,181,2,23 mins,Yes
540,133,5,24 mins,Yes
747,131,5,15 mins,No
367,190,4,25 mins,No
313,121,5,32 mins,No
538,136,4,40 mins,Yes
921,165,1,51 mins,Yes
54,104,4,55 mins,No
541,168,2,21 mins,No
467,190,3,50 mins,Yes
865,104,3,28 mins,No
164,109,2,21 mins,Yes
782,130,4,54 mins,No
334,145,2,22 mins,No
547,104,5,58 mins,No
798,169,4,11 mins,No
348,123,2,29 mins,Yes
273,116,5,40 mins,No
963,122,5,18 mins,No
720,172,4,30 mins,Yes
750,148,1,17 mins,Yes
414,162,1,48 mins,Yes
500,197,5,46 mins,No
93,160,1,38 mins,Yes
685,180,5,28 mins,No
79,105,1,44 mins,Yes
622,180,5,54 mins,No
217,107,5,47 mins,Yes
947,151,5,35 mins,Yes
358,165,5,20 mins,Yes
618,109,3,45 mins,No
507,182,1,44 mins,No
559,145,5,13 mins,Yes
181,147,2,12 mins,No
576,167,4,54 mins,No
246,124,2,56 mins,No
244,192,2,21 mins,No
506,110,3,41 mins,No
422,173,1,56 mins,Yes
320,177,3,35 mins,No
87,148,1,52 mins,Yes
217,135,5,52 mins,Yes
490,154,3,22 mins,Yes
519,187,4,53 mins,No
278,181,1,47 mins,No
849,171,3,38 mins,Yes
722,116,4,28 mins,Yes
169,153,2,44 mins,Yes
330,140,5,57 mins,Yes
650,200,5,50 mins,No
441,120,2,36 mins,Yes
391,188,3,55 mins,Yes
496,169,2,40 mins,No
381,145,4,12 mins,Yes
306,106,1,44 mins,No
742,192,3,33 mins,Yes
987,169,1,16 mins,No
820,149,2,44 mins,No
673,139,5,30 mins,No
513,102,1,10 mins,Yes
748,139,1,53 mins,No
949,121,5,15 mins,Yes
188,140,1,48 mins,No
930,182,1,43 mins,No
516,154,5,27 mins,No
913,112,5,34 mins,Yes
644,181,2,24 mins,No
427,137,2,56 mins,No
502,138,1,41 mins,No
730,115,3,51 mins,No
260,107,2,58 mins,Yes
513,178,2,59 mins,Yes
71,150,3,27 mins,No
478,165,3,40 mins,No
178,167,5,38 mins,No
457,144,2,24 mins,No
189,131,4,32 mins,Yes
291,143,4,47 mins,No
520,177,1,50 mins,No
765,148,2,20 mins,Yes
920,182,4,24 mins,No
979,181,2,32 mins,No
292,181,2,12 mins,Yes
946,161,4,28 mins,No
756,175,2,10 mins,Yes
635,184,3,33 mins,No
811,110,1,58 mins,Yes
283,129,5,20 mins,Yes
544,148,4,39 mins,No
846,198,5,59 mins,No
377,181,1,20 mins,No
658,162,3,48 mins,No
156,113,3,10 mins,Yes
508,144,3,21 mins,No
413,147,3,13 mins,No
528,164,4,34 mins,No
355,191,4,17 mins,Yes
559,153,2,24 mins,Yes
763,190,2,52 mins,Yes
187,192,1,39 mins,Yes
31,177,2,49 mins,Yes
260,176,1,41 mins,No
421,144,1,53 mins,No
529,128,1,44 mins,No
551,102,3,30 mins,Yes
304,157,5,40 mins,No
942,157,5,45 mins,Yes
986,134,4,36 mins,Yes
944,187,1,53 mins,Yes
39,158,3,17 mins,Yes
489,152,2,32 mins,Yes
644,129,2,32 mins,No
542,135,4,51 mins,No
670,175,4,42 mins,No
278,148,1,22 mins,No
203,133,1,48 mins,Yes
66,175,2,44 mins,No
108,173,2,25 mins,No
268,178,2,21 mins,Yes
222,109,2,40 mins,Yes
804,148,5,14 mins,Yes
530,167,1,59 mins,No
90,193,1,49 mins,No
693,183,2,53 mins,No
255,136,3,34 mins,Yes
455,196,2,30 mins,Yes
253,171,4,12 mins,Yes
257,192,3,57 mins,Yes
383,144,4,19 mins,Yes
442,182,3,32 mins,Yes
858,160,4,26 mins,No
599,163,2,51 mins,Yes
90,105,2,44 mins,Yes
749,187,3,34 mins,Yes
390,186,4,11 mins,Yes
582,190,5,36 mins,Yes
44,176,3,55 mins,Yes
712,140,3,18 mins,Yes
664,119,1,58 mins,Yes
598,147,3,13 mins,Yes
19,165,5,35 mins,No
101,167,2,41 mins,No
914,191,4,38 mins,No
607,118,1,31 mins,No
766,150,4,56 mins,Yes
357,130,2,22 mins,No
542,166,3,32 mins,No
761,105,5,40 mins,Yes
938,193,1,50 mins,Yes
33,197,5,45 mins,Yes
970,142,5,49 mins,Yes
229,184,5,40 mins,No
524,194,5,24 mins,Yes
630,105,2,23 mins,Yes
862,150,5,44 mins,Yes
155,185,5,33 mins,No
423,158,2,39 mins,No
905,179,4,39 mins,Yes
246,184,2,36 mins,No
405,108,3,58 mins,Yes
844,131,2,49 mins,No
759,112,4,23 mins,Yes
541,121,3,54 mins,No
161,194,3,56 mins,No
747,162,1,20 mins,No
702,191,5,56 mins,Yes
117,190,3,53 mins,No
271,133,3,35 mins,No
770,126,4,30 mins,No
692,190,3,18 mins,Yes
487,200,4,56 mins,No
885,140,5,10 mins,Yes
172,165,1,53 mins,Yes
950,159,1,15 mins,Yes
274,115,5,10 mins,Yes
259,101,5,31 mins,Yes
135,111,2,22 mins,No
683,155,3,47 mins,Yes
722,102,3,58 mins,No
748,165,3,54 mins,No
422,195,4,50 mins,Yes
421,144,2,49 mins,Yes
186,116,3,40 mins,Yes
929,122,4,24 mins,No
364,118,4,59 mins,No
955,147,1,11 mins,No
607,181,4,40 mins,No
378,130,5,35 mins,No
523,110,4,11 mins,No
580,199,5,20 mins,No
891,158,5,42 mins,No
722,162,1,27 mins,No
196,185,1,30 mins,Yes
